Model,Test Loss,Test Accuracy,Weighted F1 Score,Weighted ROC-AUC
CNN + Basic Augmentation,0.9512178897857666,0.675000011920929,0.6764070591197572,0.9259513627398244
CNN + Advanced Augmentation,1.0048199892044067,0.6800000071525574,0.6684141242647185,0.9236079097184867
EfficientNetB0 + Basic Augmentation,0.30114784836769104,0.8849999904632568,0.887411696854093,0.9892244422244423
EfficientNetB0 + Advanced Augmentation,0.3255815804004669,0.8799999952316284,0.8812600076540374,0.9872995610159072
